Article URL,Nome do artigo,Categoria,Campanha,Data,Visitas Diretas,Novos usuários únicos,Clicks pagos,Tempo de leitura (minutos),Clicks redes sociais,Vezes pesquisados,Visualizações
Article_1,Recomendações de experiência do usuário,UX,1047,06/01/2021, 73 , 116 , 0 , 1.120 , 189 , 33 , 444 
Article_1,Recomendações de experiência do usuário,UX,1047,06/02/2021, 103 , 165 , 0 , 1.649 , 268 , 46 , 587 
Article_1,Recomendações de experiência do usuário,UX,1047,06/03/2021, 582 , 932 , 0 , 9.220 , 1.514 , 262 , 2.968 
Article_1,Recomendações de experiência do usuário,UX,1047,06/04/2021, 255 , 408 , 0 , 4.545 , 664 , 115 , 1.368 
Article_1,Recomendações de experiência do usuário,UX,1047,06/05/2021, 665 , 1.064 , 0 , 6.479 , 1.729 , 299 , 3.369 
Article_1,Recomendações de experiência do usuário,UX,1047,06/06/2021, 61 , 98 , 0 , 519 , 159 , 28 , 319 
Article_1,Recomendações de experiência do usuário,UX,1047,06/07/2021, 125 , 200 , 113 , 1.136 , 325 , 56 , 706 
Article_1,Recomendações de experiência do usuário,UX,1047,06/08/2021, 634 , 1.014 , 570 , 7.993 , 1.647 , 285 , 3.200 
Article_1,Recomendações de experiência do usuário,UX,1047,06/09/2021, 1.346 , 2.154 , 0 , 12.753 , 3.501 , 606 , 6.789 
Article_1,Recomendações de experiência do usuário,UX,1047,06/10/2021, 104 , 166 , 0 , 807 , 270 , 47 , 523 
Article_1,Recomendações de experiência do usuário,UX,1047,06/11/2021, 756 , 1.210 , 0 , 12.701 , 1.966 , 340 , 3.828 
Article_1,Recomendações de experiência do usuário,UX,1047,06/12/2021, 2.756 , 4.410 , 0 , 32.631 , 7.166 , 1.240 , 13.879 
Article_1,Recomendações de experiência do usuário,UX,1047,06/13/2021, 481 , 770 , 0 , 8.925 , 1.251 , 216 , 2.489 
Article_1,Recomendações de experiência do usuário,UX,1047,06/14/2021, 1.688 , 2.701 , 0 , 8.970 , 4.390 , 760 , 8.524 
Article_1,Recomendações de experiência do usuário,UX,1047,06/15/2021, 360 , 575 , 0 , 4.325 , 935 , 162 , 1.863 
Article_1,Recomendações de experiência do usuário,UX,1047,06/16/2021, 648 , 1.037 , 0 , 5.818 , 1.685 , 292 , 3.279 
Article_1,Recomendações de experiência do usuário,UX,1047,06/17/2021, 85 , 136 , 0 , 623 , 221 , 38 , 506 
Article_1,Recomendações de experiência do usuário,UX,1047,06/18/2021, 520 , 832 , 0 , 7.585 , 1.352 , 234 , 2.617 
Article_1,Recomendações de experiência do usuário,UX,1047,06/19/2021, 344 , 550 , 0 , 6.934 , 894 , 155 , 1.796 
Article_1,Recomendações de experiência do usuário,UX,1047,06/20/2021, 171 , 274 , 0 , 3.160 , 445 , 77 , 946 
Article_1,Recomendações de experiência do usuário,UX,1047,06/21/2021, 442 , 707 , 0 , 8.283 , 1.148 , 199 , 2.308 
Article_1,Recomendações de experiência do usuário,UX,1047,06/22/2021, 522 , 835 , 0 , 9.286 , 1.357 , 235 , 2.635 
Article_1,Recomendações de experiência do usuário,UX,1047,06/23/2021, 1.118 , 1.788 , 0 , 11.664 , 2.906 , 503 , 5.678 
Article_1,Recomendações de experiência do usuário,UX,1047,06/24/2021, 145 , 232 , 0 , 1.681 , 377 , 65 , 733 
Article_1,Recomendações de experiência do usuário,UX,1047,06/25/2021, 385 , 616 , 0 , 7.767 , 1.000 , 173 , 1.999 
Article_1,Recomendações de experiência do usuário,UX,1047,06/26/2021, 154 , 246 , 0 , 1.706 , 400 , 69 , 822 
Article_1,Recomendações de experiência do usuário,UX,1047,06/27/2021, 456 , 730 , 0 , 8.759 , 1.186 , 205 , 2.358 
Article_1,Recomendações de experiência do usuário,UX,1047,06/28/2021, 493 , 789 , 0 , 2.801 , 1.282 , 222 , 2.551 
Article_1,Recomendações de experiência do usuário,UX,1047,06/29/2021, 237 , 379 , 213 , 2.249 , 616 , 107 , 1.263 
Article_1,Recomendações de experiência do usuário,UX,1047,06/30/2021, 58 , 92 , 0 , 387 , 150 , 26 , 366 
Article_1,Recomendações de experiência do usuário,UX,1047,07/01/2021, 200 , 320 , 0 , 1.371 , 521 , 90 , 1.021 
Article_1,Recomendações de experiência do usuário,UX,1047,07/02/2021, 539 , 862 , 485 , 5.619 , 1.401 , 243 , 2.732 
Article_1,Recomendações de experiência do usuário,UX,1047,07/03/2021, 28 , 45 , 0 , 302 , 73 , 13 , 196 
